County_cd,State,County_nm,pills
17155,IL,PUTNAM,75700
17157,IL,RANDOLPH,1191010
17159,IL,RICHLAND,747020
17161,IL,ROCK ISLAND,2954136
17163,IL,SAINT CLAIR,7555870
17165,IL,SALINE,2131260
17167,IL,SANGAMON,6732690
17169,IL,SCHUYLER,168250
17173,IL,SHELBY,281210
17175,IL,STARK,24300
17177,IL,STEPHENSON,1215600
17179,IL,TAZEWELL,4140240
17181,IL,UNION,898130
17183,IL,VERMILION,3885230
17185,IL,WABASH,471700
17187,IL,WARREN,310200
17189,IL,WASHINGTON,227900
17191,IL,WAYNE,517720
17193,IL,WHITE,656940
17195,IL,WHITESIDE,1258540
17197,IL,WILL,12673300
17199,IL,WILLIAMSON,5060460
17201,IL,WINNEBAGO,11412470
17203,IL,WOODFORD,736660
18001,IN,ADAMS,688900
18003,IN,ALLEN,10339745
18005,IN,BARTHOLOMEW,5279150
18007,IN,BENTON,157440
18009,IN,BLACKFORD,1098100
18011,IN,BOONE,2136260
18013,IN,BROWN,389550
18015,IN,CARROLL,392700
18017,IN,CASS,1336660
18019,IN,CLARK,8318930
18021,IN,CLAY,1220800
18023,IN,CLINTON,1521200
18025,IN,CRAWFORD,369820
18027,IN,DAVIESS,2064260
18033,IN,DE KALB,1062900
18029,IN,DEARBORN,3181560
18031,IN,DECATUR,1026140
18035,IN,DELAWARE,7939630
18037,IN,DUBOIS,2091040
18039,IN,ELKHART,5965880
18041,IN,FAYETTE,2488450
18043,IN,FLOYD,7001830
18045,IN,FOUNTAIN,1152100
18047,IN,FRANKLIN,674500
18049,IN,FULTON,1097860
18051,IN,GIBSON,1741580
18053,IN,GRANT,4374490
18055,IN,GREENE,1429100
18057,IN,HAMILTON,7858960
18059,IN,HANCOCK,2706990
18061,IN,HARRISON,1853050
18063,IN,HENDRICKS,6207520
18065,IN,HENRY,3572200
18067,IN,HOWARD,5937900
18069,IN,HUNTINGTON,1439200
18071,IN,JACKSON,2587900
18073,IN,JASPER,1747900
18075,IN,JAY,1227000
18077,IN,JEFFERSON,1853330
18079,IN,JENNINGS,1739520
18081,IN,JOHNSON,7895860
18083,IN,KNOX,2933840
18085,IN,KOSCIUSKO,2552820
18091,IN,LA PORTE,4747410
18087,IN,LAGRANGE,424560
18089,IN,LAKE,18480210
18093,IN,LAWRENCE,3723430
18095,IN,MADISON,10592660
18097,IN,MARION,47656305
18099,IN,MARSHALL,1821850
18101,IN,MARTIN,593990
18103,IN,MIAMI,979500
18105,IN,MONROE,5678050
18107,IN,MONTGOMERY,2163470
18109,IN,MORGAN,5030310
18111,IN,NEWTON,172300
18113,IN,NOBLE,1289600
18115,IN,OHIO,95400
18117,IN,ORANGE,1213500
18119,IN,OWEN,766940
18121,IN,PARKE,378630
18123,IN,PERRY,865020
18125,IN,PIKE,598660
18127,IN,PORTER,6737412
18129,IN,POSEY,1090840
18131,IN,PULASKI,619030
18133,IN,PUTNAM,1592030
18135,IN,RANDOLPH,1025500
18137,IN,RIPLEY,1661380
18139,IN,RUSH,869700
18143,IN,SCOTT,2976250
18145,IN,SHELBY,1758400
18147,IN,SPENCER,746160
18141,IN,ST JOSEPH,9331455
18149,IN,STARKE,1763100
18151,IN,STEUBEN,850730
18153,IN,SULLIVAN,1342400
18155,IN,SWITZERLAND,280800
18157,IN,TIPPECANOE,5999475
18159,IN,TIPTON,452000
18161,IN,UNION,219500
18163,IN,VANDERBURGH,12922150
18165,IN,VERMILLION,740280
18167,IN,VIGO,6335810
18169,IN,WABASH,1724020
18173,IN,WARRICK,2170120
18175,IN,WASHINGTON,1605780
18177,IN,WAYNE,3874660
18179,IN,WELLS,645200
18181,IN,WHITE,844900
18183,IN,WHITLEY,1253300
20001,KS,ALLEN,741800
20003,KS,ANDERSON,192400
20005,KS,ATCHISON,834820
20007,KS,BARBER,158730
20009,KS,BARTON,1287000
